date,coin,exchange,price,open_interest,funding_rate,notes
2026-08-23T13:01:11Z,BOME,Binance,0.0012133,10785936268.00,0.00005000,auto
2026-08-23T13:01:11Z,DOGE,Binance,0.09235,2799996900.00,0.00010000,auto
2026-08-23T13:01:11Z,BTW,Binance,0.41277,207310461.00,0.00019816,auto
2026-08-23T13:04:49Z,BOME,Binance,0.0012156,10776393894.00,0.00005000,auto
2026-08-23T13:04:49Z,BOME,Bybit,0.0012162,3417234900.00,0.00005000,auto
2026-08-23T13:04:49Z,DOGE,Binance,0.09221,2800195407.00,0.00010000,auto
2026-08-23T13:04:49Z,DOGE,Bybit,0.09214,1634469376.00,0.00009978,auto
2026-08-23T13:04:49Z,BTW,Binance,0.41393,207283206.00,0.00019864,auto
2026-08-23T13:04:49Z,BTW,Bybit,0.41406,34722450.00,0.00015513,auto
2026-08-23T13:23:06Z,BOME,Binance,0.0012163,10770734846.00,0.00005000,auto
2026-08-23T13:23:06Z,BOME,Bybit,0.0012161,3407238400.00,0.00005000,auto
2026-08-23T13:23:06Z,DOGE,Binance,0.09358,2797892629.00,0.00010000,auto
2026-08-23T13:23:06Z,DOGE,Bybit,0.09359,1596779430.00,0.00010000,auto
2026-08-23T13:23:06Z,BTW,Binance,0.4072,207331622.00,0.00019540,auto
2026-08-23T13:23:06Z,BTW,Bybit,0.408,34772710.00,0.00024475,auto
2026-08-23T13:41:59Z,BOME,Binance,0.0012002,10703260912.00,0.00005000,auto
2026-08-23T13:41:59Z,BOME,Bybit,0.0012025,3401075600.00,0.00005000,auto
2026-08-23T13:41:59Z,DOGE,Binance,0.0935,2792330215.00,0.00010000,auto
2026-08-23T13:41:59Z,DOGE,Bybit,0.09346,1586715057.00,0.00010000,auto
2026-08-23T13:41:59Z,BTW,Binance,0.4042,207112741.00,0.00019805,auto
2026-08-23T13:41:59Z,BTW,Bybit,0.40459,34537560.00,0.00025614,auto
2026-09-20T13:50:05Z,BOME,Binance,0.0008934,8817638297.00,-0.00001381,auto
2026-09-20T13:50:05Z,BOME,Bybit,0.0008932,2608874600.00,-0.00010786,auto
2026-09-20T13:50:05Z,DOGE,Binance,0.0849,2881831244.00,0.00010000,auto
2026-09-20T13:50:05Z,DOGE,Bybit,0.08489,1486783220.00,0.00001551,auto
2026-09-20T13:50:05Z,BTW,Binance,0.6872,141250853.00,0.00076942,auto
2026-09-20T13:50:05Z,BTW,Bybit,0.68578,19458140.00,0.00005000,auto
2026-09-20T13:50:05Z,AKE,Binance,0.052429,587722066.00,-0.00240430,auto
2026-09-20T13:50:05Z,AKE,Bybit,0.053571,321446000.00,-0.00163949,auto
